module,type,name,res_id,src,value,comments
palette_tracking,model,"ir.actions.act_window,name",palette_tracking.act_res_partner_palette_racking,Palette Tracking,تتبع لوحة ,
palette_tracking,model_terms,"ir.actions.act_window,help",palette_tracking.act_res_partner_palette_racking,Palette Tracking,تتبع لوحة ,
palette_tracking,model,"ir.actions.act_window,name",palette_tracking.palette_tracking_action,Palette Tracking,تتبع لوحة ,
palette_tracking,model,"ir.model,name",palette_tracking.model_palette_tracking,palette.tracking,تتبع لوحة ,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking____last_update,Last Modified on,Last Modified on,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__balance,Balance,الرصيد ,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__create_date,Created on,Created on,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__create_uid,Created by,Created by,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__display_name,Display Name,Display Name,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__icense_plate,Icense Plate,لوحة الترخيص,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__id,ID,ID,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__palette_count_minus,Palette Count Minus,عدد لوحة - ,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__palette_count_plus,Palette Count Plus,عدد لوحة + ,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__partner_id,Partner,شريك,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__picking_date_done,Picking Date Done,تاريخ ,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__picking_id,Picking,Picking,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__picking_partner_id,Picking Partner,Picking Partner,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__write_date,Last Updated on,Last Updated on,
palette_tracking,model,"ir.model.fields,field_description",palette_tracking.field_palette_tracking__write_uid,Last Updated by,Last Updated by,
palette_tracking,model,"ir.ui.menu,name",palette_tracking.palette_tracking_id,Palette Tracking,تتبع لوحة ,
palette_tracking,model_terms,"ir.ui.view,arch_db",palette_tracking.res_partner_view_tracking_buttons,Palette Tracking,تتبع لوحة ,
palette_tracking,model_terms,"ir.ui.view,arch_db",palette_tracking.view_palette_form,Palette Tracking,تتبع لوحة ,
palette_tracking,model_terms,"ir.ui.view,arch_db",palette_tracking.view_palette_tree,Palette Tracking,تتبع لوحة ,
